"Source:","/nfs/nas/nfsshare/exports/robot/pcb/RPi_Hat_Template/RPi_Hat.sch"
"Date:","Sun 15 Nov 2020 11:34:44 AM MST"
"Tool:","Eeschema 5.1.8+dfsg1-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R3","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R4","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R5","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R6","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R7","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R8","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R9","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R10","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R11","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","R12","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","U1","LSM9DS1","RPi_Hat-eagle-import:LSM9DS1","Package_LGA:LGA-24L_3x3.5mm_P0.43mm",""
"","","U2","LSM9DS1","RPi_Hat-eagle-import:LSM9DS1","Package_LGA:LGA-24L_3x3.5mm_P0.43mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","6","C1, C2, C3, C7, C8, C10","0.1uF","RPi_Hat-eagle-import:0.1UF-25V(+80_-20%)(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
